arch_config,gpu latency,flops,params,top1
"{'wid': None, 'ks': [5, 7, 3, 5, 5, 7, 7, 5, 3, 3, 3, 3, 7, 5, 3, 7, 7, 5, 7, 5], 'e': [4, 4, 4, 3, 3, 4, 3, 4, 6, 6, 4, 3, 6, 3, 6, 4, 3, 3, 4, 3], 'd': [2, 2, 2, 2, 2], 'r': [160]}",16.2036,146404224,4966736,74.58333333
"{'wid': None, 'ks': [7, 3, 7, 5, 7, 7, 7, 7, 3, 5, 5, 5, 3, 3, 5, 7, 5, 7, 7, 3], 'e': [4, 6, 3, 6, 3, 4, 6, 4, 6, 4, 6, 6, 6, 4, 6, 4, 3, 6, 6, 4], 'd': [2, 2, 2, 2, 2], 'r': [176]}",19.2219,191049760,5764528,75.625
"{'wid': None, 'ks': [5, 7, 5, 5, 7, 7, 7, 3, 3, 3, 7, 5, 5, 5, 5, 7, 7, 5, 7, 7], 'e': [4, 4, 3, 3, 6, 6, 4, 3, 6, 3, 6, 3, 6, 6, 4, 6, 6, 3, 6, 3], 'd': [2, 2, 2, 2, 2], 'r': [192]}",25.4815,250122432,5748816,78.02083333
"{'wid': None, 'ks': [7, 7, 5, 5, 3, 7, 7, 5, 3, 7, 7, 3, 7, 3, 3, 3, 3, 3, 3, 3], 'e': [6, 3, 4, 4, 4, 6, 6, 4, 6, 3, 3, 6, 3, 4, 6, 3, 4, 4, 4, 6], 'd': [2, 2, 2, 2, 2], 'r': [208]}",28.701,271237408,5143784,77.91666667
"{'wid': None, 'ks': [3, 5, 7, 5, 5, 5, 3, 5, 5, 5, 5, 7, 7, 3, 3, 3, 7, 5, 7, 5], 'e': [6, 6, 6, 4, 6, 4, 3, 4, 4, 3, 3, 6, 3, 4, 3, 4, 3, 3, 6, 6], 'd': [2, 2, 2, 2, 2], 'r': [224]}",30.5522,293697504,4813408,75.9375
"{'wid': None, 'ks': [7, 3, 7, 5, 7, 3, 5, 3, 5, 3, 5, 3, 7, 3, 7, 7, 7, 3, 7, 3], 'e': [3, 6, 4, 6, 6, 4, 6, 3, 3, 3, 4, 6, 4, 4, 3, 3, 3, 4, 6, 6], 'd': [2, 2, 2, 2, 3], 'r': [160]}",15.9958,151908768,6221680,73.64583333
"{'wid': None, 'ks': [5, 3, 3, 5, 7, 3, 7, 5, 3, 5, 3, 5, 5, 3, 7, 7, 5, 3, 7, 3], 'e': [6, 6, 4, 6, 4, 4, 4, 4, 3, 3, 6, 4, 3, 6, 4, 4, 6, 6, 3, 3], 'd': [2, 2, 2, 2, 3], 'r': [176]}",20.1219,211999040,6574688,75.3125
"{'wid': None, 'ks': [7, 5, 5, 3, 3, 7, 3, 7, 5, 5, 5, 3, 3, 7, 3, 7, 7, 5, 5, 7], 'e': [4, 6, 4, 4, 4, 6, 4, 6, 3, 3, 3, 3, 4, 6, 4, 6, 3, 3, 4, 6], 'd': [2, 2, 2, 2, 3], 'r': [192]}",24.6904,239615456,5788168,75.9375
"{'wid': None, 'ks': [7, 3, 5, 3, 3, 5, 3, 3, 3, 7, 5, 7, 7, 7, 5, 3, 5, 3, 5, 7], 'e': [3, 6, 3, 3, 3, 6, 3, 4, 6, 3, 3, 4, 4, 4, 4, 3, 6, 3, 3, 6], 'd': [2, 2, 2, 2, 3], 'r': [208]}",26.3744,262579472,5704504,77.60416667
"{'wid': None, 'ks': [5, 5, 5, 7, 7, 7, 5, 7, 5, 3, 3, 3, 3, 7, 5, 5, 3, 3, 7, 3], 'e': [3, 6, 3, 3, 6, 4, 4, 3, 3, 3, 4, 4, 4, 6, 6, 3, 4, 4, 4, 4], 'd': [2, 2, 2, 2, 3], 'r': [224]}",32.5101,317825184,6073736,77.1875
"{'wid': None, 'ks': [3, 3, 5, 5, 3, 3, 7, 5, 5, 3, 7, 3, 7, 3, 3, 5, 7, 7, 3, 3], 'e': [3, 3, 3, 3, 6, 6, 3, 3, 4, 4, 3, 4, 6, 3, 3, 4, 3, 6, 4, 3], 'd': [2, 2, 2, 2, 4], 'r': [160]}",15.3803,147930752,6706088,72.70833333
"{'wid': None, 'ks': [7, 3, 5, 7, 3, 7, 5, 7, 5, 5, 5, 5, 5, 3, 5, 7, 7, 3, 5, 3], 'e': [6, 6, 3, 4, 3, 6, 3, 3, 4, 6, 6, 6, 3, 4, 4, 3, 4, 3, 6, 6], 'd': [2, 2, 2, 2, 4], 'r': [176]}",22.2488,234513088,7258704,75.41666667
"{'wid': None, 'ks': [5, 7, 3, 3, 7, 7, 5, 7, 3, 5, 7, 3, 5, 7, 7, 5, 3, 3, 7, 3], 'e': [6, 3, 3, 4, 3, 4, 6, 6, 6, 3, 4, 4, 6, 4, 6, 6, 6, 3, 6, 4], 'd': [2, 2, 2, 2, 4], 'r': [192]}",25.7276,257209280,7157032,76.5625
"{'wid': None, 'ks': [5, 7, 7, 7, 3, 7, 5, 3, 5, 7, 3, 7, 7, 5, 7, 7, 3, 3, 7, 5], 'e': [6, 3, 6, 4, 3, 6, 6, 3, 4, 3, 6, 4, 4, 6, 4, 3, 6, 6, 4, 3], 'd': [2, 2, 2, 2, 4], 'r': [208]}",31.238,318678144,7306776,78.33333333
"{'wid': None, 'ks': [5, 5, 5, 5, 3, 5, 3, 7, 5, 7, 5, 5, 7, 3, 5, 3, 7, 3, 3, 5], 'e': [3, 3, 4, 3, 4, 6, 3, 4, 6, 3, 4, 3, 6, 3, 6, 6, 3, 6, 4, 3], 'd': [2, 2, 2, 2, 4], 'r': [224]}",30.3767,290620352,6668696,78.64583333
"{'wid': None, 'ks': [7, 3, 5, 5, 3, 5, 5, 3, 7, 3, 5, 7, 3, 7, 7, 5, 7, 7, 3, 5], 'e': [4, 4, 6, 4, 3, 6, 3, 3, 3, 6, 6, 6, 6, 3, 4, 4, 6, 4, 4, 3], 'd': [2, 2, 2, 3, 2], 'r': [160]}",17.3489,167509840,5926104,75.3125
"{'wid': None, 'ks': [7, 5, 7, 5, 7, 5, 7, 7, 7, 5, 7, 7, 5, 3, 7, 7, 5, 3, 5, 5], 'e': [6, 6, 3, 4, 3, 3, 6, 6, 6, 3, 6, 4, 6, 6, 4, 6, 3, 6, 6, 6], 'd': [2, 2, 2, 3, 2], 'r': [176]}",23.5023,237443888,6303768,76.77083333
"{'wid': None, 'ks': [3, 7, 7, 5, 3, 7, 3, 5, 3, 7, 5, 7, 7, 5, 5, 5, 5, 3, 7, 7], 'e': [6, 4, 3, 6, 6, 4, 6, 6, 4, 3, 3, 4, 4, 6, 3, 4, 3, 6, 4, 3], 'd': [2, 2, 2, 3, 2], 'r': [192]}",25.3341,254664672,6074552,77.91666667
"{'wid': None, 'ks': [3, 7, 3, 3, 7, 5, 5, 7, 3, 5, 3, 7, 5, 7, 7, 3, 7, 7, 5, 7], 'e': [4, 3, 6, 6, 4, 6, 6, 3, 3, 4, 3, 6, 6, 4, 6, 3, 4, 6, 6, 4], 'd': [2, 2, 2, 3, 2], 'r': [208]}",30.4408,302630720,6534768,79.58333333
"{'wid': None, 'ks': [7, 7, 5, 7, 7, 7, 5, 3, 3, 7, 3, 5, 7, 7, 5, 3, 3, 5, 5, 3], 'e': [4, 4, 3, 6, 3, 3, 4, 4, 4, 3, 6, 6, 6, 3, 4, 6, 3, 6, 4, 4], 'd': [2, 2, 2, 3, 2], 'r': [224]}",34.161,317143232,5937040,78.85416667
"{'wid': None, 'ks': [3, 5, 5, 3, 3, 3, 7, 5, 7, 7, 5, 5, 7, 3, 3, 3, 5, 3, 3, 5], 'e': [3, 3, 4, 3, 3, 6, 3, 3, 6, 6, 4, 6, 3, 6, 3, 4, 4, 4, 3, 4], 'd': [2, 2, 2, 3, 3], 'r': [160]}",16.4088,157453312,6070360,74.27083333
"{'wid': None, 'ks': [5, 7, 3, 3, 3, 5, 7, 3, 3, 3, 3, 3, 7, 7, 5, 3, 7, 3, 7, 7], 'e': [4, 4, 3, 3, 3, 4, 4, 4, 4, 6, 3, 4, 6, 3, 4, 3, 4, 4, 3, 3], 'd': [2, 2, 2, 3, 3], 'r': [176]}",21.3572,209134784,5998040,75.83333333
"{'wid': None, 'ks': [3, 7, 7, 7, 7, 5, 7, 5, 7, 3, 7, 3, 5, 7, 7, 3, 7, 7, 7, 5], 'e': [3, 4, 3, 4, 3, 4, 4, 4, 6, 3, 3, 6, 4, 6, 6, 6, 4, 4, 3, 6], 'd': [2, 2, 2, 3, 3], 'r': [192]}",26.0154,256082816,6521616,77.29166667
"{'wid': None, 'ks': [5, 3, 3, 5, 3, 3, 5, 5, 5, 3, 3, 7, 5, 5, 7, 5, 5, 3, 3, 3], 'e': [3, 3, 3, 3, 3, 6, 6, 6, 3, 3, 6, 4, 3, 6, 3, 6, 3, 4, 4, 4], 'd': [2, 2, 2, 3, 3], 'r': [208]}",24.7171,248384512,6072200,76.77083333
"{'wid': None, 'ks': [7, 3, 3, 7, 5, 7, 7, 3, 7, 7, 7, 7, 7, 5, 3, 5, 7, 3, 5, 7], 'e': [3, 4, 4, 6, 3, 4, 4, 4, 3, 4, 6, 6, 6, 3, 6, 3, 4, 4, 4, 3], 'd': [2, 2, 2, 3, 3], 'r': [224]}",31.7042,318952704,6418568,79.6875
